createdAt;createdBy;modifiedAt;modifiedBy;ID;user_ID;workDate;entryType_code;project_ID;activity_code;startTime;endTime;breakMin;durationHoursGross;durationHoursNet;overtimeHours;undertimeHours;source;note
2025-10-08T08:00:00.000Z;Max;2025-10-08T08:20:00.000Z;System;a7c4e5f2-b8d1-4a3c-9b0e-1f2d3c4b5a69;max.mustermann@test.de;2025-10-06;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;BDEV;08:00:00;16:30:00;30;8.50;8.00;0.80;0.00;WEB;"Hauptaktivität: Backend-Logik implementiert. (Soll 7,20h; Gesamt 8,00h Netto; 0,80h Über)"
2025-10-08T08:05:00.000Z;Erika;2025-10-08T08:05:00.000Z;Erika;f1b2c3d4-e5f6-4a7c-9d8e-7f6a5b4c3d2e;erika.musterfrau@test.de;2025-10-06;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;DSGN;16:30:00;17:30:00;0;1.00;1.00;0.00;8.00;WEB;"Hauptaktivität: Design-Workshop. (Soll 9,00h; Gesamt 1,00h Netto; 8,00h Unter)"
2025-10-08T08:10:00.000Z;Max;2025-10-08T08:10:00.000Z;Max;c9e2f4a6-b8d0-4c1e-9d2f-3a4b5c6d7e8f;max.mustermann@test.de;2025-10-07;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;URCH;09:00:00;15:00:00;30;6.00;5.50;0.00;1.70;MOBILE;"Hauptaktivität: User-Interviews vorbereitet. (Soll 7,20h; Gesamt 5,50h Netto; 1,70h Unter)"
2025-10-08T08:15:00.000Z;Erika;2025-10-08T08:15:00.000Z;Erika;d0f3a5b7-c9e1-4d2e-8f3a-4b5c6d7e8f90;erika.musterfrau@test.de;2025-10-07;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;FDEV;08:00:00;16:30:00;30;8.50;8.00;0.00;1.00;WEB;"Hauptaktivität: Frontend-Komponente entwickelt. (Soll 9,00h; Gesamt 8,00h Netto; 1,00h Unter)"
2025-10-08T08:40:00.000Z;Max;2025-10-08T08:40:00.000Z;Max;c5e8a0b2-d6c4-4c7e-9d8f-0a1b2c3d4e5f;max.mustermann@test.de;2025-10-04;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;DEPL;08:00:00;18:00:00;60;10.00;9.00;1.80;0.00;WEB;"Hauptaktivität: Automatisches Deployment-Pipeline-Setup. (Soll 7,20h; Gesamt 9,00h Netto; 1,80h Über)"
2025-10-08T08:45:00.000Z;Erika;2025-10-08T08:45:00.000Z;Erika;1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f5a;erika.musterfrau@test.de;2025-10-04;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;ARCH;16:00:00;17:00:00;0;1.00;1.00;0.00;8.00;MOBILE;"Hauptaktivität: Architektur-Abstimmung. (Soll 9,00h; Gesamt 1,00h Netto; 8,00h Unter)"
2025-11-05T09:00:00.000Z;Max;2025-11-05T09:00:00.000Z;Max;5f3a7e2d-4c1b-4e0f-9a8d-7c6b5a4f3e2d;max.mustermann@test.de;2025-11-04;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;FDEV;09:00:00;17:00:00;0;8.00;8.00;0.80;0.00;WEB;"Hauptaktivität: Frontend-Bugfix. (Soll 7,20h; Gesamt 8,00h Netto; 0,80h Über)"
2025-11-05T09:10:00.000Z;Erika;2025-11-05T09:10:00.000Z;Erika;b1c3d5e7-9f2a-4b0c-8d1e-2f3a4b5c6d7e;erika.musterfrau@test.de;2025-11-04;W;a1b2c3d4-e5f6-4a4a-b7b7-1234567890ab;URCH;08:00:00;17:30:00;30;9.50;9.00;0.00;0.00;MOBILE;"Hauptaktivität: Ganztägige User-Research-Analyse. (Soll 9,00h; Gesamt 9,00h Netto; 0,00h Über/Unter)"
2025-10-08T08:20:00.000Z;Max;2025-11-05T12:00:00.000Z;System;e1a4f6b8-d2c0-4e3f-9a1b-0c2d3e4f5a6b;max.mustermann@test.de;2025-10-08;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;SDEV;08:00:00;18:00:00;60;10.00;9.00;1.80;0.00;WEB;"Hauptaktivität: ABAP-Entwicklung für Fiori-Report. (Soll 7,20h; Gesamt 9,00h Netto; 1,80h Über)"
2025-10-08T08:30:00.000Z;Erika;2025-10-08T08:35:00.000Z;System;a3c6e8f0-b4d2-4a5c-9b6e-7f8d9c0b1a23;erika.musterfrau@test.de;2025-10-08;W;f9e8d7c6-b5a4-4b4b-c9c9-0987654321ba;TEST;08:00:00;15:30:00;30;7.50;7.00;0.00;2.00;WEB;"Hauptaktivität: Regressionstests (5,0h). (Soll 9,00h; Gesamt 7,00h Netto; 2,00h Unter)"
